model,seeds,evaluated_users,sampled_negatives,hit_rate_at_10_mean,hit_rate_at_10_std,map_at_10_mean,map_at_10_std,ndcg_at_10_mean,ndcg_at_10_std
itemknn,3,6035,100,0.6154101077050539,0.0017897654510930132,0.2642262726686908,0.0005265390348952288,0.34658920576371904,0.000854701658351022
two_stage_hybrid_ranker,3,6035,100,0.5230046948356807,0.01083559735743086,0.24082762369423463,0.0010187700410235257,0.3073136275609942,0.003222087637842083
popularity,3,6035,100,0.4923501795084231,0.0019714518969980404,0.20265041227758704,0.0010575229405077467,0.2703102105505919,0.0009945992993915299
bpr_matrix_factorization,3,6035,100,0.47666390499861916,0.001220144823771033,0.19437323286121957,0.00172244613294979,0.2602222710344317,0.0011879279621381251
hybrid_score_blend,3,6035,100,0.46633526650096657,0.002232685217498774,0.22656216164086884,0.0022294717228537,0.2831788573606054,0.0021441547407698392
content_based,3,6035,100,0.2846175089754212,0.0006100724118855057,0.14302238266198503,0.0008799199071912668,0.17573401718804807,0.0006910809411460652
implicit_als,3,6035,100,0.21386357359845345,0.0700444823672584,0.05424599886903111,0.01821912795421207,0.09054653438853609,0.0300911260181278
