model,catalog_coverage_at_10_mean,catalog_coverage_at_10_std,unique_recommended_items_mean,long_tail_share_at_10_mean,gini_index_at_10_mean
two_stage_hybrid_ranker,0.2365009872092025,0.013340985272598435,918.3333333333334,0.013206296603148301,0.9778446286836674
hybrid_score_blend,0.23160786333590866,0.012256206230629061,899.3333333333334,0.01371996685998343,0.9779099243880465
itemknn,0.09013649240278136,1.3877787807814457e-17,350.0,0.0009444904722452362,0.9871526235170792
popularity,0.029616276075199583,3.469446951953614e-18,115.0,0.0,0.9949205819516637
bpr_matrix_factorization,0.2027641857670186,0.023298143505189942,787.3333333333334,0.012852803093068214,0.9916987515880659
content_based,0.7246973989183619,1.1102230246251565e-16,2814.0,0.7411599005799503,0.8530706000557738
implicit_als,0.19452313503305008,0.023353115131814265,755.3333333333334,0.9997790665561999,0.969354275354449
