model,evaluated_users,precision_at_10,recall_at_10,map_at_10,ndcg_at_10,catalog_coverage_at_10,unique_recommended_items,avg_distinct_genres_at_10,long_tail_share_at_10,intra_list_diversity_at_10,gini_index_at_10,cold_items_hidden_from_collaborative_training,cold_item_popularity_cutoff
cold_popularity_fallback,131,0.0,0.0,0.0,0.0,0.014936904455318053,58,9.679389312977099,0.0,0.6766198828020169,0.995124176042369,894,12
cold_content_fallback,131,0.0022900763358778627,0.022900763358778626,0.0024597116200169634,0.006802479524014125,0.14705124903425187,571,3.564885496183206,0.7564885496183206,0.08270103967826785,0.9203908994580015,894,12
cold_hybrid_fallback,131,0.007633587786259542,0.07633587786259542,0.016136556403731978,0.02993456043973144,0.11357198042750451,441,3.2519083969465647,0.9946564885496183,0.10185771316062403,0.9468495477448183,894,12
