model,evaluated_users,precision_at_10,recall_at_10,map_at_10,ndcg_at_10,catalog_coverage_at_10,unique_recommended_items,avg_distinct_genres_at_10
hybrid,6037,0.00500248467782011,0.05002484677820109,0.016388685119014763,0.024098639734005722,0.15941282513520474,619,8.65976478383303
popularity,6037,0.004058307106178566,0.04058307106178566,0.013031477844298795,0.019322246472948664,0.029616276075199587,115,9.555573960576446
collaborative_filtering,6037,0.003842968361769091,0.038429683617690905,0.011432738851158617,0.017660531127794022,0.15374710275560133,597,9.802882226271327
content_based,6037,0.0015570647672685108,0.015570647672685109,0.004814622000310255,0.007263666985932142,0.7125933556528458,2767,3.7591518966374027
